csv_source_id,csv_section_source_id,csv_person_source_id,csv_person_type,csv_start,csv_end,csv_school_year
SNR001,SCT001,TCH001,Teacher,2019-01-01,2019-12-31,2020
SNR002,SCT001,STU001,Student,2019-01-01,2019-12-31,2020
SNR003,SCT001,TCH002,Teacher,2019-01-01,2019-12-31,2020
SNR004,SCT001,STU002,Student,2019-01-01,2019-12-31,2020
SNR005,SCT001,STU003,Student,2019-01-01,2019-12-31,2020
SNR006,SCT001,STU004,Student,2019-01-01,2019-12-31,2020
SNR007,SCT001,STU005,Student,2019-01-01,2019-12-31,2020
SNR009,SCT003,STU001,Student,2019-01-01,2019-12-31,2020
SNR010,SCT003,STU002,Student,2019-01-01,2019-12-31,2020
SNR011,SCT003,STU003,Student,2019-01-01,2019-12-31,2020
SNR012,SCT003,STU004,Student,2019-01-01,2019-12-31,2020
SNR013,SCT003,STU005,Student,2019-01-01,2019-12-31,2020
SNR021,SCT005,STU001,Student,2019-01-01,2019-12-31,2020
SNR022,SCT005,STU002,Student,2019-01-01,2019-12-31,2020
SNR023,SCT005,STU003,Student,2019-01-01,2019-12-31,2020
SNR024,SCT005,STU004,Student,2019-01-01,2019-12-31,2020
SNR025,SCT005,STU005,Student,2019-01-01,2019-12-31,2020
SNR027,SCT006,STU001,Student,2019-01-01,2019-12-31,2020
SNR028,SCT006,STU002,Student,2019-01-01,2019-12-31,2020
SNR029,SCT006,STU003,Student,2019-01-01,2019-12-31,2020
SNR030,SCT006,STU004,Student,2019-01-01,2019-12-31,2020
SNR031,SCT006,STU005,Student,2019-01-01,2019-12-31,2020
SNR033,SCT007,STU001,Student,2019-01-01,2019-12-31,2020
SNR034,SCT007,STU002,Student,2019-01-01,2019-12-31,2020
SNR035,SCT007,STU003,Student,2019-01-01,2019-12-31,2020
SNR036,SCT007,STU004,Student,2019-01-01,2019-12-31,2020
SNR037,SCT007,STU005,Student,2019-01-01,2019-12-31,2020
SNR038,SCT003,TCH001,Teacher,2019-01-01,2019-12-31,2020
SNR039,SCT005,TCH001,Teacher,2019-01-01,2019-12-31,2020
SNR040,SCT006,TCH001,Teacher,2019-01-01,2019-12-31,2020
SNR041,SCT007,TCH001,Teacher,2019-01-01,2019-12-31,2020
